algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
ida, gap, Pancake28, 17 24 15 3 16 9 10 13 11 2 6 12 1 5 18 8 19 25 0 4 7 23 27 22 20 26 14 21 , 27, 27, 4753, 0.010000, 475300.000000
ida, gap, Pancake28, 23 24 25 13 9 2 16 8 15 27 0 7 3 20 21 4 14 11 22 1 17 26 18 12 5 6 19 10 , 25, 24, 47460, 0.040000, 1186500.000000
ida, gap, Pancake28, 2 11 18 5 21 25 13 0 22 7 9 16 26 1 14 4 8 24 23 6 15 12 3 17 20 27 19 10 , 28, 27, 312721, 0.270000, 1158225.925926
ida, gap, Pancake28, 16 11 23 4 13 17 26 2 20 18 24 7 0 14 8 25 15 19 12 1 27 5 6 3 22 9 21 10 , 27, 27, 15505, 0.010000, 1550500.000000
ida, gap, Pancake28, 1 20 18 25 12 22 11 4 7 8 21 26 5 14 9 10 0 13 23 3 15 17 27 16 19 6 2 24 , 27, 26, 21152, 0.010000, 2115200.000000
ida, gap, Pancake28, 1 18 7 9 3 14 21 12 17 26 25 11 8 13 4 24 16 22 23 27 6 20 0 5 19 10 15 2 , 27, 26, 424819, 0.380000, 1117944.736842
ida, gap, Pancake28, 20 2 16 9 10 6 7 1 4 22 15 5 3 19 17 18 27 14 8 12 24 13 23 0 11 26 21 25 , 26, 25, 777930, 0.680000, 1144014.705882
ida, gap, Pancake28, 2 20 12 26 9 15 13 22 1 4 19 24 10 21 27 11 6 0 16 14 25 3 23 18 8 17 7 5 , 28, 28, 19948, 0.010000, 1994800.000000
ida, gap, Pancake28, 1 11 25 17 15 2 24 7 21 10 6 22 16 4 13 19 0 20 14 12 3 23 18 5 8 9 26 27 , 26, 25, 23649, 0.020000, 1182450.000000
ida, gap, Pancake28, 25 12 4 9 13 5 6 20 19 8 26 15 7 24 0 3 1 2 23 27 22 10 14 16 18 11 17 21 , 25, 25, 9237, 0.010000, 923700.000000
ida, gap, Pancake28, 9 8 21 27 24 1 7 3 13 14 12 17 5 22 15 18 16 20 10 0 4 26 2 25 11 19 6 23 , 26, 26, 4925, 0.010000, 492500.000000
ida, gap, Pancake28, 18 2 7 13 11 19 24 21 22 23 4 20 25 17 10 16 6 5 0 8 15 9 14 3 12 26 1 27 , 25, 24, 11500, 0.000000, inf
ida, gap, Pancake28, 26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14 , 29, 28, 108036, 0.100000, 1080360.000000
ida, gap, Pancake28, 25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1 , 26, 25, 135178, 0.110000, 1228890.909091
ida, gap, Pancake28, 1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24 , 25, 25, 5634, 0.010000, 563400.000000
ida, gap, Pancake28, 3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27 , 26, 25, 22683, 0.030000, 756100.000000
ida, gap, Pancake28, 25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18 , 28, 27, 41810, 0.020000, 2090500.000000
