algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
astar, gap, Pancake28, 2 22 24 16 6 10 27 14 5 20 21 13 4 25 23 0 17 11 7 12 8 3 26 1 19 9 18 15 , 27, 27, 885, 0.000000, inf
astar, gap, Pancake28, 20 0 21 2 3 9 1 12 24 14 27 4 17 19 15 18 22 5 7 16 10 6 13 25 23 26 8 11 , 28, 27, 111139, 0.170000, 653758.823529
astar, gap, Pancake28, 25 15 11 14 4 12 7 8 10 21 19 3 18 2 0 6 22 24 5 1 13 16 9 27 20 17 26 23 , 28, 27, 42667, 0.060000, 711116.666667
astar, gap, Pancake28, 6 22 12 0 26 8 27 7 20 15 16 13 1 14 17 24 21 4 9 19 5 23 11 2 3 25 18 10 , 27, 26, 20905, 0.010000, 2090500.000000
astar, gap, Pancake28, 15 0 6 9 8 25 2 16 26 1 14 12 13 5 27 23 17 11 10 20 4 21 24 7 19 22 18 3 , 26, 25, 186235, 0.260000, 716288.461538
astar, gap, Pancake28, 7 25 16 24 18 19 14 5 21 15 12 11 6 0 23 26 1 22 13 17 8 9 2 4 10 27 20 3 , 25, 25, 10843, 0.010000, 1084300.000000
astar, gap, Pancake28, 7 12 15 13 3 5 22 26 23 18 20 16 1 6 8 19 21 10 4 9 25 11 14 0 24 27 2 17 , 28, 28, 39674, 0.040000, 991850.000000
astar, gap, Pancake28, 18 5 4 14 24 12 17 20 22 27 2 3 26 9 16 0 10 11 6 21 8 25 15 23 1 19 7 13 , 26, 25, 461126, 0.750000, 614834.666667
astar, gap, Pancake28, 24 1 15 12 22 27 13 2 10 19 14 3 17 23 21 9 0 6 18 7 20 11 16 26 5 25 4 8 , 28, 28, 56941, 0.080000, 711762.500000
astar, gap, Pancake28, 27 16 2 6 11 24 8 25 15 14 20 17 26 23 12 9 13 5 0 1 7 10 22 19 18 21 3 4 , 25, 24, 91494, 0.110000, 831763.636364
astar, gap, Pancake28, 16 13 7 6 12 4 10 8 0 24 2 18 17 21 25 19 11 5 14 15 26 23 9 1 27 22 3 20 , 26, 25, 13521, 0.020000, 676050.000000
astar, gap, Pancake28, 19 17 22 25 26 10 5 13 23 0 16 21 3 24 15 7 27 1 14 20 6 4 9 12 11 2 8 18 , 27, 26, 140219, 0.200000, 701095.000000
astar, gap, Pancake28, 27 22 24 4 1 14 17 12 21 20 23 2 8 13 25 16 7 9 3 10 26 11 6 15 0 19 18 5 , 27, 26, 955162, 1.550000, 616233.548387
astar, gap, Pancake28, 25 3 9 0 4 21 19 15 23 17 6 18 11 24 16 7 20 8 13 14 12 1 26 2 10 27 5 22 , 27, 27, 3771, 0.010000, 377100.000000
astar, gap, Pancake28, 5 27 23 20 17 24 14 4 9 6 15 2 13 1 12 25 8 19 3 21 7 10 26 11 0 18 22 16 , 29, 28, 554727, 0.830000, 668345.783133
astar, gap, Pancake28, 2 26 17 23 3 16 20 15 12 7 13 19 24 11 5 10 21 27 1 9 0 25 14 6 22 8 18 4 , 28, 28, 12663, 0.020000, 633150.000000
astar, gap, Pancake28, 19 10 18 21 4 8 25 7 24 16 15 14 2 11 23 1 0 12 3 26 17 22 13 6 27 9 5 20 , 26, 25, 350525, 0.480000, 730260.416667
astar, gap, Pancake28, 27 13 21 26 14 11 16 2 7 9 4 10 8 25 6 24 17 20 15 22 23 12 5 3 19 18 1 0 , 25, 25, 7538, 0.010000, 753800.000000
astar, gap, Pancake28, 1 11 21 14 16 17 27 18 19 9 8 12 6 25 0 15 5 13 20 26 3 4 24 22 10 7 2 23 , 25, 24, 214135, 0.350000, 611814.285714
astar, gap, Pancake28, 13 27 7 16 24 25 8 12 0 26 22 14 2 15 4 23 9 21 19 18 1 17 20 6 5 3 10 11 , 25, 24, 13001, 0.020000, 650050.000000
astar, gap, Pancake28, 16 11 8 9 12 10 18 24 5 20 22 0 15 19 1 17 3 13 21 6 7 4 26 23 2 14 25 27 , 25, 25, 1249, 0.000000, inf
astar, gap, Pancake28, 7 16 13 3 22 6 5 19 24 11 8 25 21 14 4 9 1 10 17 20 15 23 27 2 12 26 18 0 , 28, 27, 350452, 0.490000, 715208.163265
astar, gap, Pancake28, 11 0 7 2 1 3 25 4 20 16 12 17 26 19 5 13 10 9 21 14 18 8 23 27 22 15 6 24 , 27, 26, 59436, 0.080000, 742950.000000
astar, gap, Pancake28, 4 22 23 2 14 6 20 18 27 21 3 15 16 17 1 12 10 24 11 13 5 9 19 25 26 7 0 8 , 26, 24, 1369469, 2.010000, 681327.860697
astar, gap, Pancake28, 7 5 27 2 22 16 25 26 13 23 3 17 15 21 12 24 10 9 14 19 1 4 8 0 18 20 6 11 , 27, 26, 47526, 0.060000, 792100.000000
astar, gap, Pancake28, 19 27 21 25 12 11 5 20 9 14 6 2 1 26 16 8 22 7 18 15 0 24 10 13 3 4 23 17 , 26, 25, 471532, 0.760000, 620436.842105
astar, gap, Pancake28, 4 24 26 18 23 7 2 3 6 0 12 8 15 25 21 17 5 1 13 22 16 10 20 27 11 14 9 19 , 28, 27, 623082, 0.900000, 692313.333333
astar, gap, Pancake28, 19 5 0 15 13 18 17 27 20 4 1 21 26 11 24 23 10 3 8 16 25 22 14 12 2 7 9 6 , 27, 26, 83170, 0.100000, 831700.000000
astar, gap, Pancake28, 24 14 2 0 18 6 25 22 7 5 10 12 16 1 11 20 19 8 4 13 21 23 27 3 15 17 26 9 , 28, 27, 448147, 0.730000, 613900.000000
astar, gap, Pancake28, 8 13 27 2 3 10 0 26 15 18 21 12 4 6 17 14 16 23 24 7 9 25 1 11 20 19 5 22 , 26, 25, 338857, 0.480000, 705952.083333
astar, gap, Pancake28, 17 13 10 15 23 3 9 12 0 25 18 6 14 27 22 21 20 19 7 2 5 24 4 8 26 1 16 11 , 25, 25, 12013, 0.010000, 1201300.000000
astar, gap, Pancake28, 19 6 1 22 25 21 8 5 27 12 24 3 7 23 17 10 9 4 11 14 0 26 15 18 20 13 2 16 , 28, 27, 78131, 0.100000, 781310.000000
astar, gap, Pancake28, 24 6 5 2 18 4 23 15 22 14 11 27 26 17 10 20 16 3 8 13 7 1 21 19 25 12 0 9 , 27, 26, 101661, 0.170000, 598005.882353
astar, gap, Pancake28, 25 26 0 27 6 3 18 15 16 4 8 17 23 1 9 5 21 2 19 12 11 7 10 20 13 14 24 22 , 25, 24, 80211, 0.090000, 891233.333333
