algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 2.000000, 15Puzzle, 7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9 , 59, 62, 885159, 0.920000, 962129.347826
dfid, manhatan, 2.000000, 15Puzzle, 6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3 , 67, 74, 356190, 0.370000, 962675.675676
dfid, manhatan, 2.000000, 15Puzzle, 15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11 , 58, 60, 201538, 0.200000, 1007690.000000
dfid, manhatan, 2.000000, 15Puzzle, 5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14 , 54, 60, 108060, 0.120000, 900500.000000
dfid, manhatan, 2.000000, 15Puzzle, 12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6 , 70, 76, 938894, 0.980000, 958055.102041
dfid, manhatan, 2.000000, 15Puzzle, 6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13 , 69, 74, 853, 0.000000, inf
dfid, manhatan, 2.000000, 15Puzzle, 14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5 , 82, 92, 37267, 0.040000, 931675.000000
dfid, manhatan, 2.000000, 15Puzzle, 14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11 , 56, 60, 170318, 0.340000, 500935.294118
dfid, manhatan, 2.000000, 15Puzzle, 15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4 , 73, 82, 5733, 0.020000, 286650.000000
dfid, manhatan, 2.000000, 15Puzzle, B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 , 66, 68, 36435, 0.080000, 455437.500000
dfid, manhatan, 2.000000, 15Puzzle, 3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11 , 75, 82, 46609, 0.090000, 517877.777778
dfid, manhatan, 2.000000, 15Puzzle, B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 , 54, 56, 7589, 0.020000, 379450.000000
dfid, manhatan, 2.000000, 15Puzzle, 11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2 , 81, 86, 93843, 0.190000, 493910.526316
